Index,J2000_NAME,OCARS_NAME,DEC,RA,DEC_deg,RA_deg,INDEX_NEW_TABLE,RA_ERR_sec,DEC_ERR_arcsec,RA_ERR_deg,DEC_ERR_deg,SKY_PA_ERR_deg,RA_DEC_CORRELATION,SEMIMAJOR_AXIS_OF_ERROR_ELLIPSE_mas,CATALOG_CODE,EPOCH_YEAR,GAL_LON_deg,GAL_LAT_deg,Z_FROM_NED_OR_LITERATURE,Z,Z_FLAG,Z_SIMBAD,Z_SIMBAD_FLAG,Z_SDSS,OPTICAL_OR_NIR_MAGNITUDE,BAND,OBJECT_PRIMARY_TYPE,OTHER_ID_AND_NOTES,J2000,frequencies,pa,pa_err,flag180,separation,sys_err,tot_err
1,J0000+0307,2357+028,+03:07:15.6463606,00:00:27.02251377,3.1210128779444446,0.1125938073749999,5.0,5.931e-05,0.0003421,2.47125e-07,9.50277777777778e-08,2.644239296225715e-07,-0.0119,0.8883,1.0,2015.0,98.833,-57.346,NED (fiducial),2.3531,,2.3533,,2.3519,19.3,R,AQ,"ICRF J000027.0+030715 S/X; NVSS J000027+030716; GALEXASC J000026.97+030716.3
",J0000+0307,"5,8",92,4,,2.1,0.0,4.0
6,J0001+1456,2358+146,+14:56:08.0804900,00:01:32.83084500,14.935577913888888,0.3867951874999999,25.0,3.933e-05,0.00125,1.63875e-07,3.472222222222223e-07,3.816207678644846e-07,0.016,1.25,39.0,2015.0,105.375,-46.228,NED (fiducial),0.3988,,0.3988,,0.3988,18.5,R,AQ,"87GB 235900.4+143923
",J0001+1456,5,-74,5,,1.4,4.014084507042253,6.411932191600021
8,J0001+2113,2358+209,+21:13:36.2750500,00:01:32.37050700,21.22674306944444,0.3848771124999999,23.0,2.8e-05,0.0006,1.1666666666666665e-07,1.6666666666666665e-07,1.990091608797943e-07,-0.425,0.6327,39.0,2015.0,107.656,-40.16,NED (fiducial),1.106,,0.439,,0.439,18.6,R,AQ,"NVSS J000132+211336
",J0001+2113,"5,8",-43,4,,2.8,4.014084507042253,5.666822251463041
13,J0001-0020,2358-006,-00:20:11.5664500,00:01:11.19621500,-0.3365462361111111,0.2966508958333332,14.0,4.667e-05,0.00171,1.944583333333333e-07,4.75e-07,5.13261861779966e-07,-0.276,1.7228,39.0,2015.0,96.619,-60.615,NED (fiducial),0.5174,,0.5173,,0.5178,17.9,R,AQ,"FIRST J000111.1-002011
",J0001-0020,5,-180,5,,3.4,0.0,5.0
19,J0002+3032,0000+302,+30:32:41.5973700,00:02:49.25087200,30.544888158333336,0.7052119666666665,34.0,4e-05,0.00108,1.6666666666666665e-07,3e-07,3.325707650420689e-07,-0.0,1.08,39.0,2015.0,110.697,-31.169,NED (fiducial),2.3924,,2.392,,2.3926,18.4,R,AQ,"NVSS J000249+303241
",J0002+3032,8,-56,5,,34.0,4.014084507042253,6.411932191600021
22,J0002-0024,0000-006,-00:24:47.2754723,00:02:57.17531916,-0.4131320756388889,0.7382304964999999,37.0,1.58e-05,0.000575,6.583333333333333e-08,1.597222222222222e-07,1.727570279918291e-07,-0.4352,0.5856,3.0,2015.0,97.39,-60.858,NED (fiducial),0.5221,,0.5223,,0.522,19.7,R,AL,"PKS 0000-006; 2MASS J00025710-0024467; SDSS J000257.17-002447.2
",J0002-0024,5,101,5,,3.4,0.0,5.0
27,J0003+0841,,+08:41:38.186,00:03:59.2301,8.693940555555557,0.9967920833333334,,,,,,,,,,,,,,,,,,,,,,,J0003+0841,8,1,5,,1.6,21.285211267605632,21.86458823546892
28,J0003+1605,,+16:05:47.961,00:03:46.0957,16.096655833333333,0.9420654166666664,,,,,,,,,,,,,,,,,,,,,,,J0003+1605,5,160,5,,3.4,4.225352112676056,6.546266147667387
31,J0003+2459,,+24:59:38.378,00:03:16.3122,24.99399388888889,0.8179675,,,,,,,,,,,,,,,,,,,,,,,J0003+2459,"5,8",57,4,,1.6,0.0,4.0
32,J0003+3241,0001+324,+32:41:57.5968300,00:03:56.33863200,32.699332452777774,0.9847443,54.0,4.133e-05,0.0011,1.7220833333333337e-07,3.055555555555556e-07,3.381788254172143e-07,-0.012,1.1,39.0,2015.0,111.5,-29.116,NED (fiducial),0.5333,,,,0.5333,20.6,r,V ,"NVSS J000356+324157
",J0003+3241,"5,8",-5,4,,6.8,21.285211267605632,21.65779810383793
54,J0006+0548,0003+055,+05:48:52.6416900,00:06:32.62968700,5.814622691666666,1.6359570291666667,91.0,2.6e-05,0.00077,1.0833333333333332e-07,2.138888888888889e-07,2.39508061053354e-07,-0.414,0.7907,39.0,2015.0,103.039,-55.314,,1.08,,1.08,,,19.2,R,AQ,"GALEX 2675958427274973097
",J0006+0548,8,-121,5,,1.8,7.447183098591549,8.969979715916175
58,J0006+2422,0004+240,+24:22:36.3922391,00:06:48.78940501,24.37677562197222,1.7032891875416667,93.0,5.9e-06,0.0001486,2.4583333333333332e-08,4.1277777777777786e-08,4.6960042719979857e-08,-0.0694,0.1487,1.0,2015.0,110.118,-37.382,NED (fiducial),1.68,,1.6899,,1.6899,19.1,R,AQ,"ICRF J000648.7+242236 S/X; GALEX 2672580727554444064
",J0006+2422,8,31,1,,2.2,21.285211267605632,21.30868880777524
64,J0007+1027,0005+101,+10:27:44.2997087,00:07:55.67835113,10.462305474638889,1.9819931297083333,99.0,2.696e-05,0.0008104,1.1233333333333333e-07,2.251111111111111e-07,2.50754248634478e-07,-0.2763,0.8199,3.0,2015.0,105.798,-50.956,LITERATURE,2.022,,,,,20.9,R,V ,"87GB 000523.1+101039;; z from milliquas (http://quasars.org/milliquas.htm)
",J0007+1027,5,15,5,,6.9,21.285211267605632,21.86458823546892
77,J0009+0157,0007+016,+01:57:55.1493283,00:09:58.65762794,1.9653192578611112,2.494406783083333,124.0,9.413e-05,0.0017967,3.922083333333333e-07,4.990833333333333e-07,6.346106139322664e-07,-0.0081,1.7968,1.0,2015.0,102.348,-59.239,NED (fiducial),2.9753,,2.9755,,2.9751,18.9,R,AQ,"ICRF J000958.6+015755 S/X; PKS 0007+016
",J0009+0157,"2,8",78,3,,5.1,0.0,3.0
78,J0009+0507,,+05:07:25.018,00:09:24.1697,5.123616111111111,2.350707083333333,,,,,,,,,,,,,,,,,,,,,,,J0009+0507,8,162,5,,1.4,4.225352112676056,6.546266147667387
79,J0009+0625,0006+06A,+06:25:54.7491390,00:09:17.05514974,6.431874760833334,2.3210631239166664,115.0,1.962e-05,0.0005786,8.174999999999997e-08,1.607222222222222e-07,1.800856193340182e-07,-0.291,0.5866,3.0,2015.0,104.495,-54.924,NED (fiducial),2.6943,,2.692,,,19.0,R,AQ,"SDSS J000917.05+062554.7; 87GB 000643.3+060902
",J0009+0625,8,-87,5,,1.1,4.014084507042253,6.411932191600021
80,J0009+0628,0006+061,+06:28:21.2402274,00:09:03.93184213,6.472566729833334,2.2663826755416663,112.0,7.03e-06,0.0001949,2.9291666666666666e-08,5.413888888888889e-08,6.146639718334315e-08,0.0741,0.1951,1.0,2015.0,104.425,-54.869,NED (fiducial),1.5626,,1.5626,,,19.1,R,AL,"ICRF J000903.9+062821 S/X; JVAS J0009+0628
",J0009+0628,"8,15",60,3,,0.7,0.0,3.0
81,J0009+1513,0007+149,+15:13:37.9048600,00:09:43.46880600,15.227195794444444,2.431120025,121.0,3.133e-05,0.00095,1.3054166666666666e-07,2.638888888888889e-07,2.924088147910048e-07,0.048,0.9503,39.0,2015.0,108.247,-46.452,NED (fiducial),2.2387,,2.24,,2.2389,19.6,R,AQ,"87GB 000708.2+145716
",J0009+1513,"5,8",-92,4,,1.1,4.014084507042253,5.666822251463041
83,J0009+1803,0007+177,+18:03:43.0122700,00:09:34.86064100,18.061947852777777,2.395252670833333,117.0,3e-05,0.00089,1.25e-07,2.472222222222222e-07,2.743024385926573e-07,0.049,0.8903,39.0,2015.0,109.118,-43.684,NED (fiducial),0.3101,,0.3097,,0.3097,16.3,R,AQ,"87GB 000700.9+174702
",J0009+1803,8,112,5,,4.1,4.225352112676056,6.546266147667387
91,J0010+2047,0007+205,+20:47:49.7884182,00:10:28.74304373,20.7971634495,2.6197626822083326,129.0,9.5e-06,0.0002454,3.9583333333333334e-08,6.816666666666666e-08,7.756291746058472e-08,-0.1885,0.2472,1.0,2015.0,110.2,-41.06,NED (fiducial),0.5978,,0.5978,,0.5978,18.4,R,AQ,"ICRF J001028.7+204749 S/X; CGRaBS J0010+2047; GALEXASC J001028.75+204750.5
",J0010+2047,"2,8",111,3,,4.2,4.225352112676056,5.182045973946585
103,J0011+0057,0008+006,+00:57:51.8770044,00:11:30.40320483,0.964410279,2.876680020125,148.0,6.42e-06,0.000196,2.675e-08,5.4444444444444464e-08,6.06593547303233e-08,0.0189,0.196,1.0,2015.0,102.449,-60.31,NED (fiducial),1.4909,,1.49,,1.491,19.8,R,AQ,"ICRF J001130.4+005751 S/X; CGRaBS J0011+0057; NVSS J001130+005751
",J0011+0057,"2,8",-117,3,,2.2,7.447183098591549,8.028731911326197
105,J0011+0834,0009+082,+08:34:00.3468700,00:11:55.16185900,8.566763019444444,2.979841079166666,158.0,4.867e-05,0.00137,2.0279166666666666e-07,3.805555555555556e-07,4.301563152418236e-07,-0.397,1.408,39.0,2015.0,106.54,-53.043,NED (fiducial),2.2045,,2.2045,,2.2053,20.2,R,AQ,"NVSS J001155+083400
",J0011+0834,5,-179,5,,3.7,7.447183098591549,8.969979715916175
107,J0011+2928,0009+291,+29:28:30.6008700,00:11:45.98204800,29.47516690833333,2.941591866666666,155.0,7.067e-05,0.0013,2.944583333333333e-07,3.611111111111111e-07,4.428483538275621e-07,-0.31,1.3532,39.0,2015.0,112.679,-32.606,NED (fiducial),2.6255,,2.625,,2.6256,18.4,R,AQ,"NVSS J001145+292830
",J0011+2928,"5,8",43,4,,3.4,0.0,4.0
111,J0012+0719,0009+070,+07:19:51.2503643,00:12:08.35129792,7.330902878972222,3.0347970746666664,159.0,2.247e-05,0.0006674,9.3625e-08,1.853888888888889e-07,2.073450304242265e-07,-0.259,0.6746,3.0,2015.0,106.093,-54.251,NED (fiducial),1.8,,,,1.5443,21.0,R,AQ,"PMN J0012+0719
",J0012+0719,"5,8",-13,4,,20.0,21.285211267605632,21.65779810383793
112,J0012+3353,0010+336,+33:53:38.4715185,00:12:47.38217291,33.89401986625,3.197425720458333,164.0,1.134e-05,0.0002459,4.725e-08,6.830555555555556e-08,7.876498265147435e-08,-0.1592,0.2474,1.0,2015.0,113.828,-28.294,NED (fiducial),1.68,,1.682,,,20.4,R,AQ,"ICRF J001247.3+335338 S/X; CGRaBS J0012+3353; GALEXASC J001247.44+335341.5
",J0012+3353,2,79,4,,3.1,0.0,4.0
123,J0013-0423,0011-046,-04:23:52.2949485,00:13:54.13096120,-4.397859707916667,3.475545671666666,173.0,9.06e-06,0.0001826,3.774999999999999e-08,5.0722222222222224e-08,6.316190959012716e-08,-0.2493,0.1886,1.0,2015.0,99.787,-65.569,NED (fiducial),1.0761,,1.0758,,1.0761,19.9,R,AQ,"ICRF J001354.1-042352 S/X; PKS 0011-046
",J0013-0423,"2,8",149,3,,5.3,4.225352112676056,5.182045973946585
125,J0014+0854,0011+086,+08:54:02.0474600,00:14:19.74000100,8.90056873888889,3.5822500041666663,178.0,3.067e-05,0.00075,1.277916666666667e-07,2.0833333333333333e-07,2.436032795080646e-07,0.183,0.757,39.0,2015.0,107.635,-52.865,NED (fiducial),0.1632,,0.1633,,0.1633,15.8,R,AL,"TXS 0011+086
",J0014+0854,"5,8",-106,4,,1.9,4.014084507042253,5.666822251463041
128,J0015+0828,0012+081,+08:28:02.5039900,00:15:08.60073900,8.467362219444444,3.7858364124999992,186.0,2.267e-05,0.00068,9.445833333333333e-08,1.888888888888889e-07,2.1073191400804289e-07,-0.319,0.6907,39.0,2015.0,107.79,-53.334,,1.7134,,1.7134,,1.7134,18.7,R,AQ,"PMN J0015+0828
",J0015+0828,"5,8",14,4,,5.8,21.285211267605632,21.65779810383793
129,J0015+1700,0013+167,+17:00:40.6029300,00:15:39.98683000,17.011278591666667,3.9166117916666665,192.0,3e-05,0.00072,1.25e-07,2.0000000000000002e-07,2.32997072065768e-07,-0.297,0.7363,39.0,2015.0,110.793,-45.016,NED (fiducial),1.72,,1.72,,1.7206,21.0,R,AQ,"NVSS J001539+170040
",J0015+1700,"5,8",0,4,,2.8,21.285211267605632,21.65779810383793
132,J0015-0034,0012-008,-00:34:59.3386317,00:15:03.39697238,-0.5831496199166667,3.7641540515833327,184.0,1.813e-05,0.0006856,7.554166666666666e-08,1.904444444444445e-07,2.0487810694736625e-07,0.1295,0.6867,3.0,2015.0,103.22,-62.054,NED (fiducial),0.1727,,0.1727,,0.1727,16.6,r,G ,"PKS 0012-008
",J0015-0034,8,-173,5,,3.4,7.447183098591549,8.969979715916175
135,J0016+2440,0013+243,+24:40:14.6974600,00:16:03.61695500,24.670749294444445,4.015070645833333,197.0,3.4e-05,0.00128,1.4166666666666665e-07,3.555555555555556e-07,3.781436100240448e-07,-0.068,1.2804,39.0,2015.0,112.788,-37.503,,1.3969,,,,1.3969,16.6,R,AL,"NVSS J001603+244015; GALEXASC J001603.56+244014.2
",J0016+2440,5,-135,5,,7.3,7.447183098591549,8.969979715916175
136,J0016+2510,0014+248,+25:10:29.5735300,00:16:39.80145900,25.174881536111112,4.1658394125,203.0,6.8e-05,0.00157,2.833333333333333e-07,4.361111111111111e-07,5.059094664565628e-07,-0.312,1.6072,39.0,2015.0,113.066,-37.03,NED (fiducial),1.3,,1.2615,,1.2616,18.0,R,AQ,"NVSS J001639+251030
",J0016+2510,8,66,5,,7.6,0.0,5.0
137,J0016-0015,0013-005,-00:15:12.4454125,00:16:11.08855044,-0.2534570590277777,4.0462022935,200.0,2.98e-06,5.88e-05,1.2416666666666664e-08,1.6333333333333334e-08,2.05170263907982e-08,-0.1033,0.0592,1.0,2015.0,103.999,-61.822,NED (fiducial),1.5764,,1.5764,,1.5765,19.7,R,AQ,"ICRF J001611.0-001512 S/X DEF; PMN J0016-0015
",J0016-0015,"2,8",-162,8,,2.2,7.447183098591549,10.929800368897302
140,J0017+0827,0015+081,+08:27:55.6878200,00:17:41.45443800,8.465468838888889,4.422726825,211.0,2.733e-05,0.00098,1.13875e-07,2.722222222222222e-07,2.9460384414108744e-07,-0.42,0.997,39.0,2015.0,108.818,-53.479,NED (fiducial),0.6784,,0.678,,0.6784,18.4,R,AQ,"1RXS J001740.9+082756; PMN J0017+0827
",J0017+0827,5,-94,5,,6.3,4.014084507042253,6.411932191600021
141,J0017+1451,0015+145,+14:51:01.8797061,00:17:36.90383788,14.850522140583331,4.403765991166666,210.0,1.888e-05,0.0004824,7.866666666666668e-08,1.34e-07,1.5407119527969472e-07,0.1225,0.4841,1.0,2015.0,110.851,-47.226,NED (fiducial),0.3026,,0.3027,,0.3026,17.1,R,AL,"ICRF J001736.9+145101 S/X; NVSS J001736+145102; 87GB 001501.8+143409
",J0017+1451,"2,8",-141,3,,3.0,7.447183098591549,8.028731911326197
147,J0018+0415,0016+039,+04:15:44.3097626,00:18:37.69810852,4.262308267388889,4.657075452166666,221.0,8.1e-06,0.0002647,3.375e-08,7.352777777777778e-08,8.086473011102585e-08,-0.0045,0.2647,3.0,2015.0,107.523,-57.625,NED (fiducial),2.6993,,2.6993,,2.6993,19.7,R,AQ,"PMN J0018+0416; SDSS J001837.69+041544.2
",J0018+0415,"5,8",-161,4,,4.0,7.447183098591549,8.453433391465719
149,J0018+2947,,+29:47:31.164,00:18:27.7896,29.79199,4.61579,,,,,,,,,,,,,,,,,,,,,,,J0018+2947,8,51,5,,15.8,0.0,5.0
152,J0019+2021,0017+200,+20:21:45.6446105,00:19:37.85449305,20.362679058472224,4.907727054374999,233.0,2.18e-06,3.07e-05,9.083333333333332e-09,8.527777777777779e-09,1.2051565487817489e-08,0.0286,0.0311,1.0,2015.0,112.899,-41.889,NED (fiducial),0.858,,,,0.0268,19.7,R,AL,"ICRF J001937.8+202145 S/X DEF; PKS 0017+200
",J0019+2021,"2,5,8,24,43",-69,4,,1.2,4.014084507042253,5.666822251463041
163,J0020+1026,0017+101,+10:26:08.0624900,00:20:22.56892000,10.435572913888889,5.0940371666666655,243.0,5.6e-05,0.00165,2.333333333333333e-07,4.583333333333333e-07,5.125696789768683e-07,-0.072,1.6514,39.0,2015.0,110.555,-51.688,NED (fiducial),0.5,,1.7297,,1.7298,20.0,R,AQ,"NVSS J002022+102607
",J0020+1026,"5,8",168,4,,3.4,4.225352112676056,5.818384696468256
168,J0021+2325,0019+231,+23:25:57.3446100,00:21:56.25215300,23.432595725,5.484383970833333,254.0,3.533e-05,0.00105,1.4720833333333337e-07,2.9166666666666664e-07,3.214230354649812e-07,-0.04,1.0502,39.0,2015.0,114.223,-38.94,NED (fiducial),1.2,,1.3944,,1.3944,19.6,R,AQ,"NVSS J002156+232558; GALEXASC J002156.20+232557.7
",J0021+2325,5,64,5,,4.9,0.0,5.0
172,J0022+0014,0019-000,+00:14:56.1630395,00:22:25.42584644,0.2489341776388889,5.6059410268333325,259.0,1.948e-05,0.0006018,8.116666666666667e-08,1.6716666666666666e-07,1.8582948599034184e-07,-0.1902,0.6051,1.0,2015.0,107.462,-61.748,NED (fiducial),0.306,,0.306,,0.306,18.1,R,G ,"ICRF J002225.4+001456 S/X; 4C +00.02
",J0022+0014,2,171,4,,6.3,4.225352112676056,5.818384696468256
173,J0022+0147,0020+015,+01:47:02.4264373,00:22:38.22511536,1.7840073436944444,5.659271313999999,262.0,7.4e-06,0.0001974,3.083333333333333e-08,5.4833333333333335e-08,6.290045697791203e-08,0.0613,0.1976,3.0,2015.0,108.301,-60.267,NED (fiducial),1.1919,,,,1.192,19.3,R,V ,"PMN J0022+0147; GALEXASC J002238.22+014702.5
",J0022+0147,"5,8",-148,4,,1.5,7.447183098591549,8.453433391465719
174,J0022+0608,0019+058,+06:08:04.2689202,00:22:32.44121084,6.1345191445000005,5.635171711833332,260.0,2.19e-06,3.37e-05,9.125e-09,9.361111111111113e-09,1.3036301457574304e-08,-0.0543,0.0342,1.0,2015.0,110.008,-56.01,NED (fiducial),2.86,,2.86,,,19.1,R,AL,"ICRF J002232.4+060804 S/X; JVAS J0022+0608
",J0022+0608,"2,8,15,24",-52,4,,0.5,4.014084507042253,5.666822251463041
177,J0023+0552,,+05:52:30.576,00:23:42.9703,5.87516,5.929042916666666,,,,,,,,,,,,,,,,,,,,,,,J0023+0552,5,-116,5,,2.4,7.447183098591549,8.969979715916175
187,J0024-0412,0022-044,-04:12:01.5490533,00:24:45.98320247,-4.200430292583333,6.1915966769583335,288.0,8.17e-06,0.0002233,3.4041666666666665e-08,6.202777777777779e-08,7.071112511973346e-08,0.0223,0.2233,1.0,2015.0,106.253,-66.205,NED (fiducial),1.9545,,1.9545,,1.9545,18.8,R,AQ,"ICRF J002445.9-041201 S/X; PKS 0022-044
",J0024-0412,"2,8",86,3,,2.8,0.0,3.0
188,J0024-0811,0021-084,-08:11:10.0494540,00:24:00.67275146,-8.186124848333334,6.002803131083333,280.0,1.083e-05,0.0003426,4.5125e-08,9.516666666666669e-08,1.051269489930229e-07,0.3549,0.3484,1.0,2015.0,102.744,-69.976,NED (fiducial),2.0709,,2.0711,,2.0709,19.4,R,AQ,"ICRF J002400.6-081110 S/X; AT20G J002400-081109
",J0024-0811,"2,8",-180,3,,4.7,0.0,3.0
189,J0025+0837,0023+083,+08:37:11.4007470,00:25:54.25930966,8.619833540833334,6.476080456916666,298.0,1.734e-05,0.0005347,7.225e-08,1.485277777777778e-07,1.648129347569459e-07,-0.251,0.5396,3.0,2015.0,112.226,-53.72,NED (fiducial),0.8143,,0.8141,,0.8143,18.0,R,AQ,"87GB 002318.2+082045
",J0025+0837,"5,8",-64,4,,1.5,4.014084507042253,5.666822251463041
190,J0025+1817,,+18:17:12.086,00:25:04.6969,18.286690555555555,6.2695704166666655,,,,,,,,,,,,,,,,,,,,,,,J0025+1817,"5,8",3,4,,2.1,21.285211267605632,21.65779810383793
198,J0026-1112,0024-114,-11:12:52.4255643,00:26:51.44312777,-11.21456265675,6.714346365708333,304.0,2.757e-05,0.0007713,1.1487499999999997e-07,2.1425e-07,2.4207476927144175e-07,-0.061,0.7718,1.0,2015.0,101.796,-73.07,NED (fiducial),1.1183,,1.115,,1.1182,18.4,R,AQ,"ICRF J002651.4-111252 S/X; SDSS J002651.44-111252.4
",J0026-1112,8,94,5,,2.7,0.0,5.0
200,J0027+0929,0024+092,+09:29:57.7636262,00:27:05.79368078,9.499378785055557,6.774140336583333,307.0,8.54e-06,0.0002124,3.558333333333333e-08,5.900000000000001e-08,6.864901025861978e-08,0.0601,0.2126,1.0,2015.0,112.95,-52.9,,1.4436,,1.4436,,1.4436,18.8,R,AQ,"ICRF J002705.7+092957 S/X; JVAS J0027+0929; GALEXASC J002705.84+092957.8
",J0027+0929,2,60,4,,9.4,0.0,4.0
208,J0028+2000,0025+197,+20:00:26.7440093,00:28:29.81848131,20.007428891472223,7.124243672124999,320.0,2.67e-06,4.27e-05,1.1124999999999995e-08,1.1861111111111112e-08,1.5810232045862922e-08,-0.0349,0.0428,1.0,2015.0,115.61,-42.538,NED (fiducial),1.552,,1.552,,1.5528,18.8,R,AQ,"ICRF J002829.8+200026 S/X; 87GB 002553.4+194347
",J0028+2000,"2,8",-129,3,,13.2,7.447183098591549,8.028731911326197
214,J0029+0509,0026+048,+05:09:34.8672348,00:29:03.59220722,5.1596853430000005,7.264967530083332,326.0,1.177e-05,0.0003054,4.9041666666666674e-08,8.483333333333333e-08,9.788936523147176e-08,-0.1254,0.3066,1.0,2015.0,112.589,-57.262,NED (fiducial),1.63,,1.6397,,1.6398,18.6,R,AQ,"ICRF J002903.5+050934 S/X; JVAS J0029+0509
",J0029+0509,"2,8",-78,3,,9.1,4.014084507042253,5.011274731011726
215,J0029+0554,0027+056,+05:54:40.7120179,00:29:45.89631836,5.911308893861111,7.441234659833331,332.0,6.4e-06,0.0001673,2.6666666666666664e-08,4.647222222222222e-08,5.350921418247188e-08,-0.0812,0.1676,1.0,2015.0,113.122,-56.547,NED (fiducial),1.3144,,1.3144,,1.3144,19.5,R,AQ,"ICRF J002945.8+055440 S/X; PKS 0027+056
",J0029+0554,"2,8,15",-172,2,,2.1,7.447183098591549,7.7110658215286705
217,J0029+3456,0026+346,+34:56:32.2470345,00:29:14.24247204,34.94229084291666,7.309343633499999,328.0,2.199e-05,0.0002417,9.1625e-08,6.71388888888889e-08,1.0074123864413365e-07,0.3337,0.298,1.0,2015.0,117.794,-27.708,NED (fiducial),0.5166,,0.52,,0.5166,19.7,R,G ,"ICRF J002914.2+345632 S/X; NVSS J002914+345632
",J0029+3456,"5,8,15",43,3,,1.2,0.0,3.0
218,J0029-0113,0026-015,-01:13:41.7597306,00:29:00.98602604,-1.2282665918333335,7.254108441833333,325.0,1.036e-05,0.0002952,4.316666666666666e-08,8.2e-08,9.266339579574217e-08,0.1898,0.2972,1.0,2015.0,110.269,-63.547,NED (fiducial),0.0828,,0.0828,,0.0828,14.7,R,AQ,"ICRF J002900.9-011341 S/X; PKS 0026-014
",J0029-0113,"2,8",56,3,,3.0,0.0,3.0
222,J0030-0000,,-00:00:07.266,00:30:07.8885,-0.0020183333333333,7.532868749999999,,,,,,,,,,,,,,,,,,,,,,,J0030-0000,5,-173,5,,2.7,7.447183098591549,8.969979715916175
224,J0030-0211,0027-024,-02:11:56.1331670,00:30:31.82374240,-2.198925879722222,7.632598926666666,342.0,5.37e-06,0.0001677,2.2375e-08,4.6583333333333343e-08,5.167117700740087e-08,-0.004,0.1677,1.0,2015.0,110.691,-64.573,NED (fiducial),1.8037,,1.8048,,1.8037,17.2,R,AQ,"ICRF J003031.8-021156 S/X; PKS B0027-024
",J0030-0211,"2,8",-29,8,,5.6,21.285211267605632,22.73895817109055
236,J0032-0232,0029-028,-02:32:19.5333800,00:32:29.67579300,-2.5387592722222223,8.123649137499998,362.0,4.4e-05,0.0014,1.833333333333333e-07,3.888888888888889e-07,4.298601305137681e-07,-0.361,1.4246,39.0,2015.0,111.679,-64.996,,0.9881,,,,0.9881,18.3,R,V ,"AT20G J003229-023219
",J0032-0232,"5,8",-40,4,,5.2,4.014084507042253,5.666822251463041
240,J0033+3600,0031+357,+36:00:37.2881400,00:33:44.85920700,36.01035781666667,8.4369133625,373.0,5.8e-05,0.00131,2.4166666666666665e-07,3.638888888888889e-07,4.130740805070643e-07,-0.598,1.3886,39.0,2015.0,118.927,-26.724,,1.1499,,1.1499,,1.1499,18.2,R,AQ,"NVSS J003344+360036; GALEXASC J003344.85+360037.0
",J0033+3600,5,-2,5,,3.6,21.285211267605632,21.86458823546892
242,J0033-0345,0031-040,-03:45:31.5126167,00:33:35.92241649,-3.758753504638889,8.399676735375,372.0,1.518e-05,0.0004842,6.325e-08,1.345e-07,1.4857193526023549e-07,-0.1446,0.4856,3.0,2015.0,111.826,-66.245,NED (fiducial),2.7097,,2.7097,,2.7097,17.7,R,AQ,"PMN J0033-0345
",J0033-0345,"5,8",-146,4,,2.8,7.447183098591549,8.453433391465719
245,J0034+2754,0032+276,+27:54:25.7205952,00:34:43.48608800,27.907144609777777,8.681192033333332,383.0,7.36e-06,0.000159,3.0666666666666663e-08,4.4166666666666665e-08,5.181817983341114e-08,-0.1017,0.1595,1.0,2015.0,118.434,-34.819,NED (fiducial),2.9684,,2.9642,,2.9683,18.3,R,AQ,"ICRF J003443.4+275425 S/X; B2 0032+27
",J0034+2754,"2,8",-90,3,,4.0,4.014084507042253,5.011274731011726
247,J0034-0054,0032-011,-00:54:13.0350459,00:34:43.92198004,-0.9036208460833334,8.683008250166665,384.0,1.082e-05,0.0003252,4.5083333333333323e-08,9.033333333333332e-08,1.0095599315109872e-07,0.2563,0.3286,1.0,2015.0,113.549,-63.471,NED (fiducial),0.6552,,0.6552,,0.6552,19.4,R,AQ,"ICRF J003443.9-005413 S/X; NVSS J003443-005413
",J0034-0054,"2,8",82,3,,1.9,0.0,3.0
249,J0035+0104,,+01:04:30.680,00:35:12.9081,1.075188888888889,8.80378375,,,,,,,,,,,,,,,,,,,,,,,J0035+0104,"5,8",-147,4,,5.1,7.447183098591549,8.453433391465719
250,J0035+1438,0033+143,+14:38:01.9725309,00:35:44.08789553,14.633881258583331,8.933699564708332,399.0,6.43e-06,0.0001775,2.6791666666666663e-08,4.930555555555556e-08,5.570472213699524e-08,0.0782,0.1777,1.0,2015.0,117.243,-48.064,NED (fiducial),2.4481,,2.4479,,2.4482,18.6,R,AQ,"ICRF J003544.0+143801 S/X; 87GB 003307.4+142125; SDSS J003544.09+143801.9
",J0035+1438,"2,8",26,3,,2.7,21.285211267605632,21.495586028452585
257,J0036+0815,0033+079,+08:15:04.0315148,00:36:16.12508083,8.251119865222222,9.067187836791666,406.0,1.346e-05,0.0004724,5.608333333333332e-08,1.312222222222222e-07,1.4247747698476717e-07,-0.559,0.4871,3.0,2015.0,116.471,-54.43,NED (fiducial),1.578,,1.5754,,1.5753,18.7,R,AQ,"4C +08.04
",J0036+0815,8,151,5,,1.9,4.225352112676056,6.546266147667387
260,J0036+3151,0034+315,+31:51:14.3918700,00:36:48.12419800,31.853997741666667,9.200517491666664,412.0,4.333e-05,0.00122,1.8054166666666666e-07,3.388888888888889e-07,3.719708382380788e-07,-0.433,1.2475,39.0,2015.0,119.309,-30.915,,1.4191,,1.4192,,1.419,16.5,R,AL,"NVSS J003648+315114; GALEXASC J003648.09+315114.9
",J0036+3151,"5,8",2,4,,2.5,21.285211267605632,21.65779810383793
